"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jun 17 00:08:53 GMT 2025","Tue Jun 17 00:08:53 GMT 2025","31","","","","","","Validate Credit Card",""
"passed","Tue Jun 17 00:08:52 GMT 2025","Tue Jun 17 00:08:53 GMT 2025","452","","","","","","Validate Credit Card",""
"passed","Tue Jun 17 00:08:53 GMT 2025","Tue Jun 17 00:08:53 GMT 2025","57","","","","","","Validate Credit Card",""
"passed","Tue Jun 17 00:08:53 GMT 2025","Tue Jun 17 00:08:53 GMT 2025","51","","","","","","Validate Credit Card",""
"passed","Tue Jun 17 00:08:53 GMT 2025","Tue Jun 17 00:08:53 GMT 2025","33","","","","","","Validate Credit Card",""
"passed","Tue Jun 17 00:08:53 GMT 2025","Tue Jun 17 00:08:53 GMT 2025","34","","","","","","Validate Credit Card",""
"passed","Tue Jun 17 00:08:53 GMT 2025","Tue Jun 17 00:08:53 GMT 2025","35","","","","","","Validate Credit Card",""
"passed","Tue Jun 17 00:08:53 GMT 2025","Tue Jun 17 00:08:53 GMT 2025","31","","","","","","Validate Credit Card",""
"passed","Tue Jun 17 00:08:54 GMT 2025","Tue Jun 17 00:08:54 GMT 2025","33","","","","","","Validate Credit Card",""
"passed","Tue Jun 17 00:08:54 GMT 2025","Tue Jun 17 00:08:54 GMT 2025","88","","","","","","Validate Credit Card",""
"passed","Tue Jun 17 00:08:53 GMT 2025","Tue Jun 17 00:08:53 GMT 2025","37","","","","","","Validate Credit Card",""
"passed","Tue Jun 17 00:08:53 GMT 2025","Tue Jun 17 00:08:53 GMT 2025","63","","","","","","Validate Credit Card",""
"passed","Tue Jun 17 00:08:53 GMT 2025","Tue Jun 17 00:08:54 GMT 2025","33","","","","","","Validate Credit Card",""
"passed","Tue Jun 17 00:08:53 GMT 2025","Tue Jun 17 00:08:53 GMT 2025","63","","","","","","Validate Credit Card",""
"passed","Tue Jun 17 00:08:53 GMT 2025","Tue Jun 17 00:08:53 GMT 2025","40","","","","","","Validate Credit Card",""
"passed","Tue Jun 17 00:08:53 GMT 2025","Tue Jun 17 00:08:53 GMT 2025","32","","","","","","Validate Credit Card",""
"passed","Tue Jun 17 00:08:53 GMT 2025","Tue Jun 17 00:08:53 GMT 2025","44","","","","","","Validate Credit Card",""
